Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"executeJavaScript(""window.open();"", [])",Chrome 108.0.0.0,,,2022-12-03 16:14:14,2022-12-03 16:14:14,0.121s,PASSED
switchToWindowIndex(currentWindow + 1),Chrome 108.0.0.0,,,2022-12-03 16:14:14,2022-12-03 16:14:14,0.025s,PASSED
"navigateToUrl(""https://temp-mail.io/en"")",Chrome 108.0.0.0,,,2022-12-03 16:14:14,2022-12-03 16:14:15,1.272s,PASSED
delay(2),Chrome 108.0.0.0,,,2022-12-03 16:14:15,2022-12-03 16:14:17,2.017s,PASSED
"click(findTestObject(""Object Repository/Page_Disposable temporary email - Temp Mail/mail_id (1)""))",Chrome 108.0.0.0,,,2022-12-03 16:14:17,2022-12-03 16:14:18,0.363s,PASSED
username = getContents(null).getTransferData(stringFlavor),Chrome 108.0.0.0,,,2022-12-03 16:14:18,2022-12-03 16:14:18,0.001s,PASSED
switchToWindowIndex(0),Chrome 108.0.0.0,,,2022-12-03 16:14:18,2022-12-03 16:14:18,0.028s,PASSED
"click(findTestObject(""Object Repository/Page_Weve got your back/button_Register (1)""))",Chrome 108.0.0.0,,,2022-12-03 16:14:18,2022-12-03 16:14:20,2.609s,PASSED
"setText(findTestObject(""Object Repository/Page_Sign-up to get the Formi dashboard/input_Email Address_email (3)""), username)",Chrome 108.0.0.0,,,2022-12-03 16:14:20,2022-12-03 16:14:21,1.320s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Sign-up to get the Formi dashboard/input_Create Password_password (3)""), ""cvW8qx4B2o3F4VwP/kNsqA=="")",Chrome 108.0.0.0,,,2022-12-03 16:14:21,2022-12-03 16:14:22,0.505s,PASSED
"click(findTestObject(""Object Repository/Page_Sign-up to get the Formi dashboard/button_Next (1)""))",Chrome 108.0.0.0,,,2022-12-03 16:14:22,2022-12-03 16:14:22,0.448s,PASSED
"otp = ""0000""",Chrome 108.0.0.0,,,2022-12-03 16:14:22,2022-12-03 16:14:22,0.000s,PASSED
"setText(findTestObject(""Object Repository/Page_Sign-up to get the Formi dashboard/otp enter""), otp)",Chrome 108.0.0.0,,,2022-12-03 16:14:22,2022-12-03 16:14:29,6.926s,PASSED
"click(findTestObject(""Object Repository/Page_Sign-up to get the Formi dashboard/button_Verify (1)""))",Chrome 108.0.0.0,,,2022-12-03 16:14:29,2022-12-03 16:14:32,2.603s,PASSED
"click(findTestObject(""Object Repository/Page_Sign-up to get the Formi dashboard/error message""))",Chrome 108.0.0.0,,,2022-12-03 16:14:32,2022-12-03 16:14:38,5.999s,FAILED
,,,,,,,
Test Cases/Organizer/OTP - REFER/Valid OTP,Chrome 108.0.0.0,,,2022-12-03 16:14:38,2022-12-03 16:15:27,49.232s,PASSED
"openBrowser("""")",Chrome 108.0.0.0,,,2022-12-03 16:14:38,2022-12-03 16:14:40,1.675s,PASSED
"navigateToUrl(""https://organizer-testing.formi.co.in/"")",Chrome 108.0.0.0,,,2022-12-03 16:14:40,2022-12-03 16:14:40,0.345s,PASSED
currentWindow = getWindowIndex(),Chrome 108.0.0.0,,,2022-12-03 16:14:40,2022-12-03 16:14:40,0.006s,PASSED
"executeJavaScript(""window.open();"", [])",Chrome 108.0.0.0,,,2022-12-03 16:14:40,2022-12-03 16:14:40,0.109s,PASSED
switchToWindowIndex(currentWindow + 1),Chrome 108.0.0.0,,,2022-12-03 16:14:40,2022-12-03 16:14:40,0.015s,PASSED
"navigateToUrl(""https://temp-mail.io/en"")",Chrome 108.0.0.0,,,2022-12-03 16:14:40,2022-12-03 16:14:42,1.267s,PASSED
delay(3),Chrome 108.0.0.0,,,2022-12-03 16:14:42,2022-12-03 16:14:45,3.013s,PASSED
"click(findTestObject(""Object Repository/Page_Disposable temporary email - Temp Mail/mail_id (1)""))",Chrome 108.0.0.0,,,2022-12-03 16:14:45,2022-12-03 16:14:45,0.364s,PASSED
username = getContents(null).getTransferData(stringFlavor),Chrome 108.0.0.0,,,2022-12-03 16:14:45,2022-12-03 16:14:45,0.003s,PASSED
switchToWindowIndex(0),Chrome 108.0.0.0,,,2022-12-03 16:14:45,2022-12-03 16:14:45,0.026s,PASSED
