Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Test Cases/GSU/Next Button,Chrome 107.0.0.0,,,2022-12-01 22:51:27,2022-12-01 22:51:40,13.198s,PASSED
"openBrowser("""")",Chrome 107.0.0.0,,,2022-12-01 22:51:27,2022-12-01 22:51:29,1.699s,PASSED
"navigateToUrl(""https://organizer.formi.co.in/"")",Chrome 107.0.0.0,,,2022-12-01 22:51:29,2022-12-01 22:51:30,1.084s,PASSED
"click(findTestObject(""Object Repository/Page_Weve got your back/span_Login (10)""))",Chrome 107.0.0.0,,,2022-12-01 22:51:30,2022-12-01 22:51:31,1.059s,PASSED
"click(findTestObject(""Object Repository/Page_Weve got your back/div_Sign in with GoogleSign in with Google (5)""))",Chrome 107.0.0.0,,,2022-12-01 22:51:31,2022-12-01 22:51:34,3.166s,PASSED
switchToWindowIndex(1),Chrome 107.0.0.0,,,2022-12-01 22:51:34,2022-12-01 22:51:34,0.028s,PASSED
"click(findTestObject(""Object Repository/Page_Sign in - Google Accounts/span_Create account (8)""))",Chrome 107.0.0.0,,,2022-12-01 22:51:34,2022-12-01 22:51:36,1.662s,PASSED
"click(findTestObject(""Object Repository/Page_Sign in - Google Accounts/span_For my personal use (9)""))",Chrome 107.0.0.0,,,2022-12-01 22:51:36,2022-12-01 22:51:37,0.893s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/Page_Create your Google Account/div_Show password_VfPpkd-RLmnJb""))",Chrome 107.0.0.0,"GSU-021
",,2022-12-01 22:51:37,2022-12-01 22:51:37,0.866s,PASSED
"verifyElementClickable(findTestObject(""Object Repository/Page_Create your Google Account/span_Next""))",Chrome 107.0.0.0,"GSU-022

",,2022-12-01 22:51:37,2022-12-01 22:51:40,2.552s,PASSED
,,,,,,,
Test Cases/GSU/Phone Number,Chrome 107.0.0.0,,,2022-12-01 22:51:40,2022-12-01 22:52:19,39.439s,PASSED
"openBrowser("""")",Chrome 107.0.0.0,,,2022-12-01 22:51:40,2022-12-01 22:51:42,1.849s,PASSED
"navigateToUrl(""https://organizer-testing.formi.co.in/"")",Chrome 107.0.0.0,,,2022-12-01 22:51:42,2022-12-01 22:51:42,0.354s,PASSED
"click(findTestObject(""Object Repository/Page_Weve got your back/span_Register""))",Chrome 107.0.0.0,,,2022-12-01 22:51:42,2022-12-01 22:51:43,1.134s,PASSED
"switchToWindowTitle(""Sign-up to get the Formi dashboard!"")",Chrome 107.0.0.0,,,2022-12-01 22:51:43,2022-12-01 22:51:43,0.033s,PASSED
"click(findTestObject(""Object Repository/Page_Sign-up to get the Formi dashboard/span_Sign in with Google""))",Chrome 107.0.0.0,,,2022-12-01 22:51:43,2022-12-01 22:51:47,3.346s,PASSED
